chlorophyll_GFF,datetime,chlorophyll_fluorometer,Location,Latitude,Longitude
6.27,14-Feb-13,46.55,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.27,15-Feb-13,44.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.27,16-Feb-13,47.95,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.27,17-Feb-13,52.05,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.85,18-Feb-13,50.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.85,19-Feb-13,53.15,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.85,20-Feb-13,52.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.85,21-Feb-13,6.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.85,22-Feb-13,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.85,23-Feb-13,56.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.85,24-Feb-13,54.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.56,25-Feb-13,44.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.56,26-Feb-13,11.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.56,27-Feb-13,56.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.56,28-Feb-13,57.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.56,1-Mar-13,57.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.56,2-Mar-13,63.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.56,3-Mar-13,4.5,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14,4-Mar-13,0.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14,5-Mar-13,72.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14,6-Mar-13,51.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14,7-Mar-13,4.95,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14,8-Mar-13,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14,9-Mar-13,0.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
14,10-Mar-13,0.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,11-Mar-13,38.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,12-Mar-13,26.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,13-Mar-13,1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,14-Mar-13,1.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,15-Mar-13,1.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,16-Mar-13,1.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.82,17-Mar-13,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.27,18-Mar-13,0.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.27,19-Mar-13,0.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.27,20-Mar-13,0.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.27,21-Mar-13,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.27,22-Mar-13,9.8,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.27,23-Mar-13,8.1,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
6.27,24-Mar-13,0.9,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.14,25-Mar-13,0.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.14,26-Mar-13,5.75,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.14,27-Mar-13,7.05,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.14,28-Mar-13,5.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.14,29-Mar-13,0.4,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.14,30-Mar-13,0.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
7.14,31-Mar-13,0.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.8,1-Apr-13,0.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.8,2-Apr-13,0.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.8,3-Apr-13,0.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.8,4-Apr-13,0.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.8,5-Apr-13,0.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.8,6-Apr-13,0.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
5.8,7-Apr-13,0.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
2.98,8-Apr-13,0.2,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.56,24-Apr-13,26.95,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.56,25-Apr-13,32.3,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.56,26-Apr-13,30.25,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.56,27-Apr-13,0.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
9.56,28-Apr-13,0.6,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
16.14,29-Apr-13,0.7,Santa Cruz Municipal Wharf Shore Station,36.96,-122.02
