Period,Mean,Max,Min,Median,Std,CI95
1,3.356471844,8.006824,0.823226,3.284075,1.80857850033739,0.708962772132256
2,3.85683852,12.16197,0.888875,2.742414,2.76018109197431,1.08199098805393
3,4.4453889008,12.77921,0.01035142,3.237054,3.4750440100089,1.36221725192349
4,4.49716128,13.93217,0.873359,3.611183,3.49385387376684,1.3695907185166
5,3.8329914,12.70021,1.342046,3.280438,2.57181844029264,1.00815282859471
6,4.151175928,11.87507,0.7942223,2.995607,2.85311653928593,1.11842168340009
7,5.2422196,14.12534,1.064134,3.83181,3.56329388382552,1.3968112024596
8,6.04390232,17.13191,1.374814,4.268371,4.44368177973749,1.74192325765709
9,6.12779124,16.43615,1.632204,5.017546,4.26823385423667,1.67314767086077
10,5.2543338,15.29745,1.06746,4.09395,3.2881585669999,1.28895815826396
11,6.19805292,16.51221,1.250637,4.438531,4.49601708659642,1.7624386979458
12,6.57388032,16.64403,1.267002,5.347281,4.69830122884935,1.84173408170895
13,6.64348736,15.64675,2.382042,4.99264,3.93830299135262,1.54381477261023
14,7.76584724,19.07449,3.03199,5.772442,4.21266257316417,1.65136372868036
15,7.75954744,16.20973,2.514495,7.158767,3.5811302127226,1.40380304338726
16,7.54656944,14.8323,1.857741,6.516598,3.93624651792162,1.54300863502528
17,8.89054624,17.72213,1.8313,8.953074,4.07760834672778,1.59842247191729
18,10.17837068,17.27963,4.378258,8.525383,4.08690110977498,1.60206523503179
19,9.80784708,16.08923,0.451319,10.08598,3.70847446023698,1.4537219884129
20,11.16261268,18.30202,1.787166,11.83163,4.93118679368258,1.93302522312357
21,12.1725303076923,20.52827,2.198411,11.92989,4.79630439099254,1.84364005301121
22,12.33554836,20.22312,2.209615,12.35298,4.38923216509681,1.72057900871795
23,10.8964049583333,19.17241,1.342153,11.27573,4.23442451318924,1.69412263723563
24,10.3492904166667,22.58609,3.651055,9.1557275,4.60943805279784,1.84415930095272
25,10.3853037083333,23.58555,1.752234,12.31166,5.2409197672921,2.09680460474616
26,10.4931855416667,17.46936,1.662515,10.968175,4.13216817761581,1.65321158253241
27,9.272415,14.97189,1.717906,9.7236505,3.2953240982813,1.31840422105476
28,9.732244875,18.92563,4.623104,10.0878375,3.57229664680866,1.42921631910764
29,9.78871040416667,16.82695,0.3401797,10.332674,4.32942933741848,1.73213248317149
30,9.79591691666667,21.50021,3.410293,9.1211825,4.30427413770494,1.72206830723774
31,9.9334045,16.61898,1.712344,10.68385,3.50007826078096,1.40032294712449
32,10.4148267333333,16.1096,0.8266376,10.99849,3.76643613540886,1.50688829115355
33,11.6876740833333,20.51427,2.501938,11.643655,4.64402425439733,1.85799666347582
34,11.51539725,24.34502,5.118556,10.712165,4.15591951382916,1.66271409608964
35,11.3763380833333,17.761,1.519813,11.795945,3.53306083001961,1.41351872308114
36,10.4971601083333,18.76813,0.6204916,11.638705,4.9216577590135,1.96907319903816
37,9.08763766666667,20.08769,1.668923,9.043764,5.2133660383762,2.08578081727486
38,8.72959795833333,16.06817,1.45743,9.1301225,4.24735797825864,1.6992971009399
39,9.2916815,17.49234,2.112702,9.886357,4.61125259833903,1.84488527036558
40,9.11159129166667,18.25959,2.524415,9.606966,4.4713882593071,1.78892788060506
41,8.42279683333333,16.3311,1.831801,8.254218,4.19699431292834,1.67914743827276
42,8.245322375,29.12744,1.306304,6.767941,5.97716265271523,2.39136310609953
43,9.1196375,22.02498,1.689708,8.809184,4.70131262076382,1.88091678355575
44,8.9139617675,20.15524,0.01035142,8.97314,5.26601671531253,2.10684547514886
45,9.91616135083333,19.45403,0.01035142,9.856033,4.37269868139822,1.74944382616653
46,9.681234375,18.00263,2.318036,10.189714,4.98297436754261,1.99360495163503
47,9.56400808333333,22.92879,3.976427,8.741392,4.35042585798569,1.74053284092619
48,10.1345543333333,23.60637,2.190931,9.980139,5.10951186898298,2.04423049590478
49,11.192146125,20.32324,2.65769,12.05753,5.22527647660546,2.09054598499971
50,12.332891125,21.07724,3.213075,13.34218,5.39882714477355,2.15998071331643
51,11.1320733166667,21.75784,0.8786176,10.61171,5.41731900211946,2.16737899708242
52,11.6973197083333,19.28426,0.505391,12.25568,5.15125437952303,2.06093097830107
53,13.1779794583333,21.32446,3.508292,13.265945,5.63117871828307,2.25294070333484
54,13.3041439583333,22.11283,1.662831,12.84554,6.17512022125161,2.47056262826011
55,12.760428375,21.61129,3.017767,11.511425,5.32078009103474,2.12875538857711
56,12.8241742083333,22.82189,3.522464,12.406175,5.47761690722203,2.19150318342556
57,12.5279570833333,21.73355,3.328243,12.0769,5.19742738486245,2.07940402778656
58,11.6487653333333,20.59934,2.100956,12.28129,5.13291955382617,2.05359552027931
59,12.0497749583333,24.81149,2.341048,11.43007,5.95591905488639,2.38286389685254
60,11.0628663333333,21.41857,3.486259,10.395,4.77332180297868,1.90972645658193
61,11.6246109166667,21.74116,1.635437,12.15578,5.13677321029845,2.05513730397281
62,12.3277714166667,22.43614,1.733976,12.74753,5.6565245708782,2.2630811563073
63,11.6701841666667,27.36611,2.702427,10.96356,6.34880625614828,2.54005151454764
64,12.295000375,27.50312,3.672357,11.05187,7.02265884571619,2.80964869890907
65,11.68574225,27.46945,2.165459,9.8018945,7.60987585969432,3.04458443415518
66,11.3827561666667,21.48662,2.813215,10.761636,6.14066582646088,2.45677799944327
67,9.40416904166667,21.39392,2.656836,8.0792,5.82463398761683,2.33033893066184
68,7.399830225,17.34605,0.9584624,5.983011,5.04882667297023,2.01995136092668
69,7.33539495833333,17.41127,1.016137,5.474642,5.00866404521144,2.00388296328608
70,6.13626179166667,21.02959,1.296017,4.5750265,4.76986138414951,1.90834200071206
71,5.23398916666667,21.14882,1.472558,3.034925,4.86826265122076,1.94771070679215
