Period,Mean,Max,Min,Median,Std,CI95
1,1.164764392,2.393037,0.5885592,1.065848,0.43066691998389,0.168821432633685
2,1.193701288,3.13203,0.4844163,1.008257,0.594588229168988,0.233078585834243
3,1.3043463288,3.317165,0.01035142,1.22234,0.689770679155623,0.270390106229004
4,1.463893248,5.568451,0.5748633,1.020807,1.20370434281957,0.471852102385273
5,1.303040156,4.817424,0.6269389,1.061356,0.844445733539341,0.331022727547422
6,1.252943344,3.808118,0.5499815,0.9703205,0.702056587368603,0.275206182248492
7,1.385462212,3.779247,0.6624542,1.117532,0.737919992384355,0.289264637014667
8,1.631225208,5.065878,0.711009,1.304448,1.07994327714819,0.423337764642089
9,1.653997312,4.173989,0.5857046,1.462444,0.906333980000715,0.35528292016028
10,1.4253676,3.385635,0.681508,1.230336,0.623627382068136,0.244461933770709
11,1.592107704,4.651365,0.6227601,1.332054,0.902752018762479,0.353878791354892
12,1.793545504,6.339559,0.6137043,1.368882,1.26414294697882,0.495544035215698
13,2.18348976,9.375292,0.7017827,1.512437,1.81728974601164,0.712377580436564
14,2.395104468,6.289032,0.5955625,1.990411,1.46470492474262,0.574164330499108
15,2.660885128,7.567181,0.9368936,2.268404,1.5587136332976,0.611015744252658
16,2.568969748,7.104529,0.7446489,2.450329,1.60739730685595,0.630099744287531
17,2.667359588,6.174651,0.7585793,2.340625,1.55866297891294,0.610995887733873
18,3.25163316,7.328428,1.050113,2.783348,1.81389643132343,0.711047401078786
19,3.556342108,7.259778,0.5571654,3.229737,1.91864860125123,0.752110251690483
20,3.84521128,7.202632,1.162926,3.883188,1.52435269031671,0.597546254604151
21,3.92583996153846,9.0819,1.63474,3.474607,1.83622913547636,0.705823756104397
22,4.31610536,8.851621,1.275162,4.211943,1.9497944544143,0.764319426130404
23,3.96329008333333,7.744308,1.20814,3.8004215,1.77067170363065,0.708416222060348
24,3.38204920833333,5.334188,1.883884,3.325627,1.15650417618979,0.462698035786925
25,3.43418641666667,8.957858,1.101641,3.278966,1.69606398182344,0.678566916674816
26,3.747297775,9.25838,0.5970556,3.499831,1.86470012901062,0.746035427098406
27,3.43644534166667,7.389369,0.7243965,3.1085655,1.87788391386421,0.751310039574161
28,3.2641475875,6.154986,0.7964391,3.0492345,1.59863721996896,0.639588093881747
29,2.90844725,5.084344,0.4631494,2.923333,1.32503745089802,0.530125388647116
30,3.04982354166667,6.67027,1.453051,2.3576635,1.58565437995408,0.634393876085135
31,3.22994263333333,7.683336,0.5217872,3.005317,1.78434083693224,0.713885014356798
32,3.35798045416667,9.049713,0.5347704,2.8713735,1.89031025429127,0.756281611165506
33,4.16352180416667,10.36245,0.9032093,3.9734865,2.04455938743252,0.817994117177747
34,4.499583375,12.04658,1.689695,3.829898,2.33599822774797,0.934593937344626
