Period,Mean,Max,Min,Median,Std,CI95
1,4.36616416,11.84443,1.387063,3.606825,2.45590256987789,0.962713807392131
2,6.47478412,15.23895,2.665395,5.660601,3.38941016967675,1.32864878651329
3,8.47073052,15.12259,5.090721,7.836447,2.56543288806422,1.00564969212117
4,11.5392850384615,15.80645,4.234598,12.197725,2.84573556716726,1.0938655356739
5,10.2887830416667,16.67243,5.025358,10.76682,2.94932033878709,1.17997388661333
6,11.869129375,15.63674,7.135678,12.43498,2.1530944477954,0.861417184969313
7,9.36076433333334,14.2855,1.976738,9.9410465,3.37651243873033,1.3508863222248
8,11.13296825,17.95106,5.330868,10.12106,3.41712346151969,1.36713411523998
9,13.09987425,18.94573,3.76709,14.28349,4.48602006838649,1.79478182342726
10,12.8608005833333,22.23452,3.75815,12.88291,4.82905071437915,1.93202266473441
11,12.2717926666667,24.23841,3.932701,11.141125,5.47937659385246,2.19220720470301
12,6.539289625,19.08682,1.726889,4.843024,4.30892820970134,1.72393032383524
