Period,Mean,Max,Min,Median,Std,CI95
1,1.351967008,3.843915,0.6788362,1.148781,0.659597311812186,0.258562146230377
2,1.642754832,3.14784,0.8717478,1.439788,0.619118439723846,0.242694428371747
3,2.64545292,5.566709,1.31793,2.502575,1.11748928456965,0.438055799551304
4,3.82605619230769,6.680034,2.064233,3.8188885,1.11194909015868,0.427419469743388
5,3.46548241666667,6.282121,1.28898,3.2859265,1.31342343864137,0.525478816010897
6,4.144959625,7.472224,2.33748,3.930549,1.4900622350773,0.596149052951968
7,2.90869620833333,4.370305,1.219828,3.0135655,0.924294554285308,0.369794838238595
8,3.114173875,6.312199,1.020914,3.0271985,1.25653972927416,0.502720592448578
9,3.407804125,5.381658,1.233573,3.304342,1.33774735121775,0.535210407823065
10,3.29232413333333,7.51047,0.9123332,2.8798185,1.6235149212895,0.649541247335833
11,2.77358725,8.448777,1.204283,2.4759775,1.55164604153172,0.620787706983139
12,1.5891165375,3.974757,0.7901797,1.2426225,0.845796676976654,0.33838914650662
