Taxa,Max_CC,Lag,P_value,Adjusted_p_value
Hemiaulus**,0.793,6,0,0.001
Leptocylindrus**,0.768,6,0,0.001
Centric**,0.743,-1,0,0.005
Thalassionema**,0.73,9,0,0.001
Asterionellopsis**,0.691,7,0,0.01
Skeletonema**,0.691,5,0,0.001
Thalassiosira**,0.604,3,0,0.001
Polykrikos**,0.558,-2,0,0.001
Chaetoceros**,0.505,6,0,0.003
total_cells**,0.463,-1,0,0.001
Pseudo_nitzschia**,0.46,6,0,0.001
Entomoneis**,0.45,7,0,0.002
Guin_Dact**,0.419,6,0,0.001
Det_Cer_Lau**,0.387,6,0,0.002
Pennate**,0.372,6,0,0.001
Cyl_Nitz**,0.369,7,0,0.003
Ciliates,0.304,-6,0.202,0.526
Amy_Gony_Protoc,0.261,-6,0.383,0.867
Rhiz_Prob*,0.255,6,0.02,0.062
Tontonia,0.227,-10,0.681,1
NanoP_less10,0.226,-2,0.101,0.277
Dictyocha,0.214,-2,0.818,1
Odontella,0.213,-10,0.43,0.933
Boreadinium,0.211,-7,0.36,0.851
Gymnodinium,0.208,0,0.826,1
Protoperidinium,0.206,19,0.065,0.189
Torodinium,0.206,-8,0.807,1
Alexandrium_singlet,0.201,-7,0.666,1
Cryptophyte,0.194,6,0.86,1
Prorocentrum,0.192,19,0.748,1
Tiarina,0.188,-1,0.627,1
Dinophysis,0.185,-7,0.782,1
Licmophora,0.182,30,0.679,1
Scrip_Het,0.179,19,0.874,1
Akashiwo,0.169,-8,0.35,0.866
FlagMix,0.161,-10,0.852,1
Gyrodinium,0.142,0,0.837,1
Tintinnid,0.139,19,0.894,1
Ceratium,0.133,24,0.878,1
Peridinium,0.13,24,0.586,1
Corethron,0.121,6,0.82,1
Pyramimonas,0.114,-1,0.952,1
Mesodinium,0.109,6,0.975,1
Vicicitus,0.108,15,0.806,1
Clusterflagellate,0.103,5,0.869,1
Pleurosigma,0.097,7,0.949,1
Ditylum,0.095,6,0.899,1
Phaeocystis,0.089,0,0.886,1
Eucampia,0.085,6,0.749,1
Tropidoneis,0.08,22,0.992,0.992
Lingulodinium,0.056,7,0.979,0.999
Cochlodinium,0.055,-7,0.954,1
